S0003	9	renomada	ADJ	FEATS	Gender=Fem|Number=Sing|VerbForm=Part	Gender=Fem|Number=Sing
S0005	3	sugere	VERB	LEMMA	sugerer	sugerir
S0005	23	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0009	21	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0009	44	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0011	34	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0019	16	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0023	18	envolvidas	VERB	LEMMA	envolvir	envolver
S0025	12	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0027	23	tireoide	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0027	31	estimativas	NOUN	LEMMA	estimatião	estimativa

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 8
