S0001	4	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0001	24	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0001	41	COVID-19	NUM	LEMMA	COVID-19	covid-19
S0005	15	desenvolvida	VERB	LEMMA	desenvolvir	desenvolver
S0005	20	BioNTech	PROPN	LEMMA	Biontech	BioNTech
S0017	2	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0017	27	desenvolvida	VERB	LEMMA	desenvolvir	desenvolver
S0023	7	sugere	VERB	LEMMA	sugerer	sugerir
S0027	16	pilares	NOUN	LEMMA	pilare	pilar

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 3
