S0001	43	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	4	sugere	VERB	LEMMA	sugerer	sugerir
S0013	25	SARS-CoV-2	PROPN	LEMMA	SARS-COV-2	SARS-CoV-2
S0015	9	covid-19	NUM	LEMMA	COVID-19	covid-19
S0017	4	tanta	ADJ	FEATS	Gender=Fem|Number=Sing|PronType=Ind	Gender=Fem|Number=Sing
S0021	16	omite	VERB	LEMMA	omiter	omitir
S0021	28	covid-19	NUM	LEMMA	COVID-19	covid-19
S0025	3	Dr.	PUNCT	LEMMA	DR.	Dr.

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 1
