S0007	4	sugere	VERB	LEMMA	sugerer	sugerir
S0009	7	oferecido	VERB	LEMMA	oferecir	oferecer
S0021	6	infundadas	ADJ	FEATS	Gender=Fem|Number=Plur|VerbForm=Part	Gender=Fem|Number=Plur
S0021	32	devidas	ADJ	FEATS	Gender=Fem|Number=Plur	Gender=Fem|Number=Plur|VerbForm=Part
S0021	44	concluiu	VERB	LEMMA	concluar	concluir
S0029	26	aceito	VERB	LEMMA	aceir	aceitar
S0037	30	reconhecidas	VERB	LEMMA	reconhecir	reconhecer

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 2
