S0001	1	EXCLUSIVO	ADJ	LEMMA	EXCLUSIVO	exclusivo
S0007	12	que	PRON	FEATS	_	PronType=Dem
S0009	6	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0013	2	perca	VERB	LEMMA	percer	perder
S0015	16	sexta	NOUN	LEMMA	sexta-feira	sexto
S0015	23	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0019	26	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0021	10	DJs	PROPN	FEATS	Foreign=Yes|Gender=Masc|Number=Plur	_
S0025	37	surpresa	ADJ	LEMMA	surpresa	surpreso
S0027	6	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0029	24	23h59	NUM	LEMMA	23H59	23h59
S0037	6	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0039	22	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0043	6	inteira	NOUN	LEMMA	inteira	inteiro
S0043	12	meia	NOUN	LEMMA	meio	meia
S0045	24	sextas	NOUN	LEMMA	sextas-feira	sexto
S0045	32	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0051	12	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0053	6	meia	NOUN	LEMMA	meio	meia
S0053	12	inteira	NOUN	LEMMA	inteira	inteiro
S0057	12	quintas	NOUN	LEMMA	quinta	quinto
S0057	14	sextas	NOUN	LEMMA	sexta	sexto
S0057	20	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0059	6	inteira	NOUN	LEMMA	inteira	inteiro
S0059	12	meia	NOUN	LEMMA	meio	meia
S0061	28	interage	VERB	LEMMA	interager	interagir
S0063	11	15h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0065	6	inteira	NOUN	LEMMA	inteira	inteiro
S0065	12	meia	NOUN	LEMMA	meio	meia
S0069	9	15h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0071	6	meia	NOUN	LEMMA	meio	meia
S0071	12	inteira	NOUN	LEMMA	inteira	inteiro
S0075	16	especiais	ADJ	LEMMA	especiai	especial
S0077	34	interaja	VERB	LEMMA	interajer	interagir
S0079	12	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0081	6	meia	NOUN	LEMMA	meio	meia
S0081	12	inteira	NOUN	LEMMA	inteira	inteiro
S0083	27	TV	NOUN	LEMMA	tv	televisão
S0083	27	TV	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0083	31	interage	VERB	LEMMA	interager	interagir
S0085	11	16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0087	6	inteira	NOUN	LEMMA	inteira	inteiro
S0087	12	meia	NOUN	LEMMA	meio	meia
S0091	13	inteira	NOUN	LEMMA	inteira	inteiro
S0091	19	meia	NOUN	LEMMA	meio	meia
S0093	14	km	NOUN	LEMMA	km	quilômetro
S0099	4	sexta	NOUN	LEMMA	sexta-feira	sexto
S0099	21	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0099	23	20h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0103	33	surpresa	ADJ	LEMMA	surpresa	surpreso
S0105	6	13h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0105	9	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0105	12	sexta	NOUN	LEMMA	sexta-feira	sexto
S0105	16	14h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0105	19	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0109	8	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0111	25	youtuber	NOUN	FEATS	Number=Sing	Foreign=Yes|Number=Sing
S0113	3	quarta	NOUN	LEMMA	quarta-feira	quarto
S0113	13	inteira	NOUN	LEMMA	inteira	inteiro
S0113	19	meia	NOUN	LEMMA	meio	meia
S0115	23	programadas	VERB	LEMMA	programado	programar
S0121	6	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0121	9	14h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0121	15	Ri	PROPN	LEMMA	RI	Ri

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 38
Fchanged - fixed: 26
