S0005	14	renomada	ADJ	FEATS	Gender=Fem|Number=Sing|VerbForm=Part	Gender=Fem|Number=Sing
S0005	21	9h	NOUN	LEMMA	9H	9h
S0005	21	9h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0005	24	13h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0007	30	9h	NOUN	LEMMA	9H	9h
S0007	30	9h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0007	33	16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0011	11	13h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0017	20	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0017	23	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0021	21	9h	NOUN	LEMMA	9H	9h
S0021	21	9h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0023	15	supermodelo	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0027	31	surpresa	ADJ	LEMMA	surpresa	surpreso
S0035	16	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0035	19	16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0037	17	ex-BBB	NOUN	LEMMA	EX-BBB	ex-bbb
S0041	2	perca	VERB	LEMMA	percer	perder

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 12
