S0001	20	recordes	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur
S0005	13	temperaturas	NOUN	LEMMA	temperatuão	temperatura
S0011	5	conquistou	VERB	LEMMA	conquistor	conquistar
S0015	43	km	NOUN	LEMMA	km	quilômetro
S0021	30	vendidas	VERB	LEMMA	vendir	vender
S0029	6	cavados	ADJ	LEMMA	cavar	cavado
S0029	9	areias	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0037	43	gourmet	NOUN	FEATS	Foreign=Yes	Gender=Masc|Number=Sing
S0039	16	recordes	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 4
