S0001	9	covid-19	NUM	LEMMA	COVID-19	covid-19
S0005	17	queimado	VERB	LEMMA	queimado	queimar
S0005	32	mg	NOUN	LEMMA	mg	miligrama
S0005	32	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	40	mg	NOUN	LEMMA	mg	miligrama
S0005	40	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	65	mg	NOUN	LEMMA	mg	miligrama
S0005	65	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	77	mg	NOUN	LEMMA	mg	miligrama
S0005	77	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	95	santa	NOUN	LEMMA	santa	santo
S0005	122	campina	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	137	mg	NOUN	LEMMA	mg	miligrama
S0005	137	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	141	mg	NOUN	LEMMA	mg	miligrama
S0005	141	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	153	mg	NOUN	LEMMA	mg	miligrama
S0005	153	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	166	mg	NOUN	LEMMA	mg	miligrama
S0005	166	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0007	4	mg	NOUN	LEMMA	mg	miligrama
S0007	4	mg	NOUN	FEATS	_	Abbr=Yes|Gender=Masc
S0007	11	mg	NOUN	LEMMA	mg	miligrama
S0007	16	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0007	19	areia	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0007	32	parelhas	NOUN	LEMMA	parelha	parelho
S0007	68	andré	PROPN	LEMMA	André	andré

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 15
Fchanged - fixed: 12
