S0001	8	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0001	26	globo	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc|Number=Sing
S0001	34	sexta-feira	NOUN	LEMMA	sexta-fEira	sexta-feira
S0001	43	reconhecido	VERB	LEMMA	reconhecir	reconhecer
S0001	58	brasil	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0003	3	globo	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc|Number=Sing
S0003	17	pais	NOUN	LEMMA	pais	pai
S0003	17	pais	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Plur
S0003	21	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0003	33	ordens	NOUN	LEMMA	orden	ordem
S0003	68	cheio	ADJ	FEATS	Gender=Masc|Number=Sing|VerbForm=Part	Gender=Masc|Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 7
