S0001	5	esposa	NOUN	LEMMA	esposa	esposo
S0001	27	esposa	NOUN	LEMMA	esposa	esposo
S0003	1	antônio	PROPN	LEMMA	Antônio	antônio
S0003	4	pt	PROPN	LEMMA	PT	pt
S0003	20	esposa	NOUN	LEMMA	esposa	esposo
S0003	35	antônio	PROPN	LEMMA	Antônio	antônio
S0005	7	pra	ADP	LEMMA	pra	para
S0005	7	pra	ADP	FEATS	Abbr=Yes	_
S0005	28	esposa	NOUN	LEMMA	esposa	esposo
S0005	37	esposa	NOUN	LEMMA	esposa	esposo
S0007	2	quiser	VERB	LEMMA	quiser	querer

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 1
