S0001	9	covid-19	NUM	LEMMA	COVID-19	covid-19
S0005	16	queimado	VERB	LEMMA	queimado	queimar
S0005	28	mg	NOUN	LEMMA	mg	miligrama
S0005	28	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	34	mg	NOUN	LEMMA	mg	miligrama
S0005	34	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	39	norte	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0005	54	mg	NOUN	LEMMA	mg	miligrama
S0005	54	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	63	mg	NOUN	LEMMA	mg	miligrama
S0005	63	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	78	santa	NOUN	LEMMA	santa	santo
S0005	99	campina	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	111	mg	NOUN	LEMMA	mg	miligrama
S0005	111	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	114	mg	NOUN	LEMMA	mg	miligrama
S0005	114	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	123	mg	NOUN	LEMMA	mg	miligrama
S0005	123	mg	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0005	133	mg	NOUN	LEMMA	mg	miligrama
S0007	4	mg	NOUN	LEMMA	mg	miligrama
S0007	11	mg	NOUN	LEMMA	mg	miligrama
S0007	16	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0007	19	areia	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0007	32	parelhas	NOUN	LEMMA	parelha	parelho

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 14
Fchanged - fixed: 11
