S0001	1	lula	PROPN	LEMMA	Lula	lula
S0001	16	“jornal	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0005	6	bi	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Sing
S0007	13	renda”	ADJ	FEATS	Number=Sing	_
S0009	9	mil”	NOUN	LEMMA	mil	mil”
S0009	9	mil”	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0015	21	mil”	NOUN	LEMMA	mil	mil”
S0015	21	mil”	NOUN	FEATS	Gender=Masc|Number=Plur	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 5
