S0001	16	covid-19	NUM	LEMMA	COVID-19	covid-19
S0001	34	admitem	VERB	LEMMA	admiter	admitir
S0003	2	admitem	VERB	LEMMA	admiter	admitir
S0003	5	“terapia	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0005	2	admitem	VERB	LEMMA	admiter	admitir
S0005	11	admitem	VERB	LEMMA	admiter	admitir
S0005	18	causar”	PRON	LEMMA	CAUSAR”	causar”
S0005	18	causar”	PRON	FEATS	_	PronType=Dem
S0005	46	admitem	VERB	LEMMA	admiter	admitir
S0007	2	admitem	VERB	LEMMA	admiter	admitir
S0007	8	‘terapia	NOUN	FEATS	Gender=Fem|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 8
Fchanged - fixed: 3
