S0001	4	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	7	galera	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0007	25	“remédio	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0007	26	pra	ADP	LEMMA	pra	para
S0007	26	pra	ADP	FEATS	Abbr=Yes	_
S0019	36	dia”	ADJ	FEATS	Gender=Masc|Number=Sing	_
S0021	11	japonesa	ADJ	LEMMA	japonês	japonÃªs
S0021	25	“hipótese	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0025	12	pra	ADP	LEMMA	pra	para
S0025	12	pra	ADP	FEATS	Abbr=Yes	_
S0027	23	história”	ADJ	FEATS	Gender=Fem|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 7
