S0001	3	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	18	‘alerta	NOUN	FEATS	Number=Sing	_
S0003	27	descobertas	NOUN	LEMMA	descoberta	descoberto
S0003	41	‘alerta	NOUN	FEATS	Number=Sing	_
S0003	42	global’	PUNCT	LEMMA	GLOBAL’	global’
S0015	1	adeno	VERB	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Fin
S0017	2	“provável”	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0017	6	vacinados/crianças	NOUN	LEMMA	vacinados/criança	vacinados/crianças
S0017	6	vacinados/crianças	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0021	7	“eles”	PRON	FEATS	_	PronType=Dem
S0021	8	garantem	VERB	LEMMA	garanter	garantir

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 6
