S0001	13	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	1	1gr	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0003	8	ml	NOUN	LEMMA	ml	mililitro
S0003	8	ml	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0003	13	vol.	NOUN	LEMMA	VOL.	vol.
S0005	3	ml	NOUN	LEMMA	ml	mililitro
S0005	3	ml	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0007	2	1gr	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0011	3	ml	NOUN	LEMMA	ml	mililitro
S0011	3	ml	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0013	6	min.	PUNCT	LEMMA	MIN.	min.
S0017	6	min.	PUNCT	LEMMA	MIN.	min.
S0019	4	x	SYM	LEMMA	X	x
S0021	11	“”*urgente	ADJ	FEATS	Number=Sing	_
S0025	3	dr.	NOUN	LEMMA	denhor	dr.
S0025	3	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 9
Fchanged - fixed: 7
