S0003	10	entregue	VERB	LEMMA	entregr	entregar
S0007	4	quinhentas	NUM	LEMMA	quinhento	quinhentos
S0007	4	quinhentas	NUM	FEATS	NumType=Card	Gender=Fem|NumType=Card
S0009	8	“ficha	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	9	limpa”	PUNCT	LEMMA	LIMPA”	limpa”
S0013	1	luciana	PROPN	LEMMA	Luciana	luciana
S0023	3	‘aposentadoria	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0023	7	parlamentar’	ADJ	FEATS	Number=Sing	_
S0023	15	exercido	VERB	LEMMA	exercir	exercer
S0031	4	mantenha	VERB	LEMMA	manteher	manter
S0037	1	apoiado	VERB	LEMMA	apoiado	apoiar

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 4
