S0001	10	covid-19	NUM	LEMMA	COVID-19	covid-19
S0001	14	“proteína	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0001	16	“atenção	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0001	19	funcho	NOUN	FEATS	Foreign=Yes	Gender=Masc|Number=Sing
S0001	29	a	NOUN	LEMMA	o	a
S0001	29	a	NOUN	FEATS	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	Gender=Masc|Number=Sing
S0003	12	dr.	NOUN	LEMMA	denhor	dr.
S0003	12	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0003	14	nasser	PROPN	LEMMA	Nasser	nasser
S0003	40	“dr	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0003	41	.	PUNCT	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0011	3	chá!”	PUNCT	LEMMA	CHÁ!”	chá!”
S0019	3	chá!”	PUNCT	LEMMA	CHÁ!”	chá!”

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 7
