S0005	10	21a	ADJ	LEMMA	21o	21a
S0005	10	21a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0009	6	terça-feira	NOUN	LEMMA	terça-fEira	terça-feira
S0009	25	21a	ADJ	LEMMA	21o	21a
S0009	25	21a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0013	12	Curitiba.Bumlai	PROPN	LEMMA	Curitiba.bumlai	Curitiba.Bumlai
S0017	14	terça-feira	NOUN	LEMMA	terça-fEira	terça-feira
S0017	21	21a	ADJ	LEMMA	21o	21a
S0017	21	21a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0019	6	expedidos	VERB	LEMMA	expeder	expedir

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 3
