S0017	9	reflitam	VERB	LEMMA	reflitar	refletir
S0017	37	PROMOTORES	NOUN	LEMMA	PROMOTORES	promotor
S0017	39	DELEGADOS	NOUN	LEMMA	DELEGADOS	delegado
S0017	49	persiga	VERB	LEMMA	persigir	perseguir
S0017	82	age	VERB	LEMMA	ager	agir
S0017	93	quiser	VERB	LEMMA	quiser	querer
S0017	123	pra	ADP	LEMMA	pra	para
S0017	123	pra	ADP	FEATS	Abbr=Yes	_
S0017	166	olha	INTJ	FEATS	Mood=Imp|Number=Sing|Person=2|VerbForm=Fin	Mood=Imp|Number=Sing|Person=2
S0017	184	age	VERB	LEMMA	ager	agir
S0019	5	Perfeito	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part
S0027	22	pra	ADP	LEMMA	pra	para
S0027	22	pra	ADP	FEATS	Abbr=Yes	_
S0031	1	ADVOGADO	NOUN	LEMMA	ADVOGADO	advogado
S0031	19	pra	ADP	LEMMA	pra	para
S0031	19	pra	ADP	FEATS	Abbr=Yes	_
S0031	23	pra	ADP	LEMMA	pra	para
S0031	23	pra	ADP	FEATS	Abbr=Yes	_
S0033	11	coletivas	NOUN	LEMMA	coletivo	coletiva
S0037	5	Entendi	VERB	LEMMA	entendir	entender
S0041	10	pra	ADP	LEMMA	pra	para
S0041	10	pra	ADP	FEATS	Abbr=Yes	_
S0043	5	Perfeito	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 15
Fchanged - fixed: 8
