S0001	1	Ex-Deputado	PROPN	LEMMA	ex-deputado	Ex-Deputado
S0001	9	populares	NOUN	FEATS	Number=Plur	Gender=Masc|Number=Plur
S0007	25	ferragens	NOUN	LEMMA	ferragen	ferragem
S0011	29	Arcanjo-3	PROPN	LEMMA	ARCANJO-3	Arcanjo-3
S0013	21	populares	NOUN	FEATS	Number=Plur	Gender=Masc|Number=Plur
S0015	11	ingerido	VERB	LEMMA	ingerer	ingerir
S0019	17	psicomotora	ADJ	LEMMA	psicomotoro	psicomotor
S0023	2	populares	NOUN	FEATS	Number=Plur	Gender=Masc|Number=Plur
S0023	19	descreveu	VERB	LEMMA	descrevar	descrever
S0025	28	batido	VERB	LEMMA	batir	bater
S0027	27	descritos	VERB	LEMMA	descrir	descrever

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 8
Fchanged - fixed: 3
